AtcoCode,CommonName,LocalityName,Latitude,Longitude,Easting,Northing,Status
700000010390,Benvardin Road,Coleraine,55.13032226,-6.55541661,292196,432411,active
700000010391,Ballyversal Road,Coleraine,55.1370618,-6.58082721,290560,433128,active
700000010392,Liswatty Road,Coleraine,55.13829602,-6.59119585,289896,433252,active
700000010393,Ballyrashane Church,Coleraine,55.13955165,-6.60429301,289058,433375,active
700000010394,Boghill Road,Coleraine,55.13734514,-6.62593131,287683,433102,active
700000010395,Clifton Park,Coleraine,55.13408478,-6.64685016,286356,432713,active
700000010396,Windsor Avenue,Coleraine,55.13370825,-6.65829321,285627,432657,active
700000010397,Dunluce Avenue,Coleraine,55.20195513,-6.65120877,285932,440263,active
700000010398,Portrush Primary School,Coleraine,55.20008444,-6.64695299,286207,440060,active
700000010399,Rathmore Golf Club,Coleraine,55.20068702,-6.64297471,286459,440132,active
700000010400,Royal Portrush Golf Club,Coleraine,55.19945918,-6.63598049,286907,440004,active
700000010401,The Skerries,Coleraine,55.19874947,-6.62956569,287317,439933,active
700000010402,Dunluce Road,Coleraine,55.20061289,-6.61638736,288152,440157,active
700000010403,Whiterocks,Coleraine,55.20416724,-6.60980843,288563,440561,active
700000010404,Dunluce Castle,Coleraine,55.21091073,-6.57607987,290695,441355,active
700000010405,Portballintrae Rd Junction,Coleraine,55.21346584,-6.56338844,291497,441656,active
700000010406,Seaport Avenue,Coleraine,55.21566529,-6.55111679,292273,441917,active
700000010407,Bayview Hotel,Coleraine,55.21574744,-6.54368207,292746,441936,active
700000010408,Bushfoot Road,Coleraine,55.21376645,-6.54028224,292967,441720,active
700000010409,Bushfoot Cottages,Coleraine,55.21183918,-6.53612668,293236,441511,active
700000010410,Tramway Drive,Coleraine,55.20730042,-6.52996267,293639,441014,active
700000010411,Diamond,Coleraine,55.20611533,-6.52406865,294017,440890,active
700000010412,Bushmills War Memorial,Coleraine,55.20639982,-6.5238225,294032,440922,active
700000010413,Whitepark Road,Coleraine,55.21972024,-6.512597,294715,442420,active
700000010415,Giants Causeway,Coleraine,55.23206501,-6.51570438,294488,443790,active
700000010416,Giants Causeway Centre,Coleraine,55.23388853,-6.51643814,294437,443992,active
700000010417,Giants Causeway Bottom Stop,Coleraine,55.23987288,-6.51140452,294743,444665,active
700000010418,Giants Causeway,Coleraine,55.23327757,-6.51642945,294439,443924,active
700000010419,The Aird,Coleraine,55.234951,-6.49755079,295636,444136,active
700000010420,Tonduff,Coleraine,55.23645395,-6.48325159,296542,444323,active
700000010421,Feigh Road,Coleraine,55.2354904,-6.45797922,298152,444251,active
700000010422,Dunseverick Castle,Coleraine,55.2372782,-6.44948376,298688,444462,active
700000010423,Dunseverick Road,Coleraine,55.23651164,-6.43868225,299377,444392,active
700000010424,Milltown Cottages,Coleraine,55.23429025,-6.43637993,299529,444148,active
700000010425,Mc Caughans Corner,Coleraine,55.2296609,-6.43264785,299778,443638,active
700000010426,Portbradden,Coleraine,55.23052341,-6.41942648,300617,443753,active
700000010427,Whitepark Bay,Coleraine,55.22882169,-6.40945054,301256,443578,active
700000010428,Ballintoy School,Coleraine,55.23357403,-6.37942554,303154,444151,active
700000010430,Ballintoy Gospel Hall,Coleraine,55.23675,-6.36162633,304278,444531,active
700000010431,Main Street,Coleraine,55.23638135,-6.35692533,304578,444497,active
700000010432,Carrick-a-Rede Rope Bridge,Coleraine,55.23729635,-6.35083504,304963,444608,active
