building_id,15min,30min,60min
"[237254524, 237254530, 438847793, 438847812]","Counter({'bus_stop': 16, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'pitch': 4, 'small_supermarket': 3, 'pub': 3, 'atm': 2, 'playground': 2, 'grave_yard': 2, 'place_of_worship': 2, 'community_centre': 2, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'school': 1})","Counter({'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1})","Counter({'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1})"
[237840187],"Counter({'bus_stop': 6, 'pitch': 3, 'restaurant': 2, 'fast_food': 2, 'place_of_worship': 2, 'grave_yard': 2, 'outdoor_education_centre': 1, 'playground': 1, 'pub': 1, 'fitness_station': 1, 'community_centre': 1})","Counter({'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1})","Counter({'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1})"
[237840422],"Counter({'bus_stop': 19, 'pitch': 6, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1})","Counter({'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1})","Counter({'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1})"
[237840968],"Counter({'bus_stop': 18, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1})","Counter({'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1})","Counter({'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1})"
[237847200],"Counter({'bus_stop': 16, 'pitch': 5, 'fast_food': 5, 'restaurant': 4, 'cafe': 3, 'small_supermarket': 3, 'grave_yard': 3, 'pub': 3, 'place_of_worship': 3, 'school': 2, 'atm': 2, 'community_centre': 2, 'playground': 2, 'post_office': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'fitness_station': 1})","Counter({'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1})","Counter({'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1})"
"[237847203, 1223306697, 1223306717, 1223306718, 1223306719]","Counter({'bus_stop': 19, 'pitch': 6, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1})","Counter({'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1})","Counter({'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1})"
"[298904152, 298904157]","Counter({'bus_stop': 6, 'pitch': 3, 'grave_yard': 3, 'restaurant': 2, 'fast_food': 2, 'place_of_worship': 2, 'post_box': 1, 'outdoor_education_centre': 1, 'playground': 1, 'pub': 1, 'fitness_station': 1, 'school': 1, 'community_centre': 1})","Counter({'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1})","Counter({'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1})"
"[298904153, 298904154, 298904155, 298904156]","Counter({'bus_stop': 6, 'pitch': 3, 'restaurant': 2, 'fast_food': 2, 'place_of_worship': 2, 'grave_yard': 2, 'post_box': 1, 'outdoor_education_centre': 1, 'playground': 1, 'pub': 1, 'fitness_station': 1, 'community_centre': 1})","Counter({'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1})","Counter({'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1})"
[298904158],"Counter({'bus_stop': 6, 'pitch': 3, 'grave_yard': 3, 'restaurant': 2, 'fast_food': 2, 'place_of_worship': 2, 'post_box': 1, 'outdoor_education_centre': 1, 'playground': 1, 'pub': 1, 'fitness_station': 1, 'community_centre': 1})","Counter({'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1})","Counter({'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1})"
[298904160],"Counter({'bus_stop': 6, 'fast_food': 5, 'pitch': 3, 'grave_yard': 3, 'place_of_worship': 3, 'restaurant': 2, 'post_box': 1, 'outdoor_education_centre': 1, 'playground': 1, 'pub': 1, 'fitness_station': 1, 'school': 1, 'community_centre': 1})","Counter({'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1})","Counter({'bus_stop': 21, 'pitch': 7, 'fast_food': 5, 'cafe': 4, 'restaurant': 4, 'small_supermarket': 3, 'pub': 3, 'grave_yard': 3, 'place_of_worship': 3, 'atm': 2, 'playground': 2, 'school': 2, 'community_centre': 2, 'golf_course': 1, 'post_box': 1, 'outdoor_education_centre': 1, 'bar': 1, 'post_office': 1, 'fitness_station': 1, 'garden': 1})"
